date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests
07/09/2020,298903,394,6345,3,2778689,20980
08/09/2020,299233,330,6350,5,2802210,23521
09/09/2020,299659,426,6359,9,2825040,22830
10/09/2020,299855,196,6365,6,2850121,25081
11/09/2020,300371,516,6370,5,2879655,29534
12/09/2020,300955,584,6373,3,2908379,28724
13/09/2020,301481,526,6379,6,2939790,31411
14/09/2020,302020,539,6383,4,2968613,28823
15/09/2020,302424,404,6389,6,2995890,27277
16/09/2020,303089,665,6393,4,3024987,29097
17/09/2020,303634,545,6399,6,3056795,31808
18/09/2020,304386,752,6408,9,3090660,33865
19/09/2020,305031,645,6415,7,3126380,35720
20/09/2020,305671,640,6416,1,3160924,34544
21/09/2020,306304,633,6420,4,3194317,33393
22/09/2020,306886,582,6424,4,3230472,36155
23/09/2020,307418,532,6432,8,3264216,33744
24/09/2020,308217,799,6437,5,3306515,42299
25/09/2020,309015,798,6444,7,3344019,37504
26/09/2020,309581,566,6451,7,3384186,40167
27/09/2020,310275,694,6457,6,3420654,36468
28/09/2020,310841,566,6466,9,3449541,28887
29/09/2020,311516,675,6474,8,3482206,32665
30/09/2020,312263,747,6479,5,3514237,32031
01/10/2020,312806,543,6484,5,3548476,34239
02/10/2020,313431,625,6499,15,3580173,31697
03/10/2020,313984,553,6507,8,3615244,35071
04/10/2020,314616,632,6513,6,3644762,29518
05/10/2020,314616,0,6513,0,3678534,33772
06/10/2020,315727,1111,6523,10,3702607,24073
07/10/2020,316351,624,6535,12,3730221,27614
08/10/2020,316934,583,6544,9,3761389,31168
09/10/2020,317595,661,6552,8,3795287,33898
10/10/2020,318266,671,6558,6,3828952,33665
11/10/2020,318932,666,6570,12,3857845,28893
12/10/2020,318932,0,6570,0,3884796,26951
13/10/2020,319848,916,6588,18,3914818,30022
14/10/2020,320463,615,6601,13,3943734,28916
15/10/2020,321218,755,6614,13,3975596,31862
16/10/2020,321877,659,6621,7,4009497,33901
17/10/2020,322452,575,6638,17,4041962,32465
18/10/2020,323019,567,6654,16,4074024,32062
19/10/2020,323452,433,6659,5,4101115,27091
20/10/2020,323452,0,6659,0,4122069,20954
21/10/2020,324744,1292,6692,33,4148739,26670
22/10/2020,325480,736,6702,10,4177270,28531
23/10/2020,326216,736,6715,13,4204320,27050
24/10/2020,327063,847,6727,12,4235329,31009
25/10/2020,327895,832,6736,9,4264053,28724
26/10/2020,328602,707,6739,3,4290545,26492
27/10/2020,329375,773,6745,6,4317678,27133
28/10/2020,330200,825,6759,14,4347155,29477
29/10/2020,331108,908,6775,16,4376604,29449
30/10/2020,332186,1078,6795,20,4409537,32933
31/10/2020,332993,807,6806,11,4431225,21688
01/11/2020,333970,977,6823,17,4458890,27665
02/11/2020,335093,1123,6835,12,4486843,27953
03/11/2020,336260,1167,6849,14,4514827,27984
04/11/2020,337573,1313,6867,18,4541392,26565
05/11/2020,338875,1302,6893,26,4573768,32376
06/11/2020,340251,1376,6923,30,4609513,35745
07/11/2020,341753,1502,6943,20,4643913,34400
08/11/2020,343189,1436,6968,25,4676263,32350
09/11/2020,344839,1650,6977,9,4709603,33340
10/11/2020,346476,1637,7000,23,4741507,31904
11/11/2020,348184,1708,7021,21,4773496,31989
12/11/2020,349992,1808,7055,34,4810182,36686
13/11/2020,352296,2304,7092,37,4847105,36923
14/11/2020,354461,2165,7109,17,4881640,34535
15/11/2020,356904,2443,7141,32,4921050,39410
16/11/2020,359032,2128,7160,19,4950561,29511
17/11/2020,361082,2050,7193,33,4979939,29378
18/11/2020,363380,2298,7230,37,5018483,38544
19/11/2020,365927,2547,7248,18,5055382,36899
20/11/2020,368665,2738,7561,313,5098291,42909
21/11/2020,371508,2843,7603,42,5141403,43112
22/11/2020,374173,2665,7662,59,5180026,38623
23/11/2020,376929,2756,7696,34,5216955,36929
24/11/2020,379883,2954,7744,48,5256120,39165
25/11/2020,382892,3009,7803,59,5297703,41583
26/11/2020,386198,3306,7843,40,5343702,45999
